,date,new_deaths
105662,2020-10-05,393.0
105663,2020-10-06,810.0
105664,2020-10-07,725.0
105665,2020-10-08,733.0
105666,2020-10-09,654.0
105667,2020-10-10,533.0
105668,2020-10-11,278.0
105669,2020-10-12,194.0
105670,2020-10-13,377.0
105671,2020-10-14,733.0
105672,2020-10-15,814.0
105673,2020-10-16,643.0
105674,2020-10-17,415.0
105675,2020-10-18,235.0
105676,2020-10-19,326.0
105677,2020-10-20,648.0
105678,2020-10-21,570.0
105679,2020-10-22,505.0
105680,2020-10-23,563.0
105681,2020-10-24,387.0
105682,2020-10-25,233.0
105683,2020-10-26,302.0
105684,2020-10-27,525.0
105685,2020-10-28,505.0
105686,2020-10-29,551.0
105687,2020-10-30,573.0
105688,2020-10-31,292.0
105689,2020-11-01,203.0
105690,2020-11-02,165.0
105691,2020-11-03,288.0
105692,2020-11-04,618.0
105693,2020-11-05,603.0
105694,2020-11-06,271.0
105695,2020-11-07,228.0
105696,2020-11-08,190.0
105697,2020-11-09,186.0
105698,2020-11-10,198.0
105699,2020-11-11,574.0
105700,2020-11-12,933.0
105701,2020-11-13,576.0
105702,2020-11-14,734.0
105703,2020-11-15,140.0
105704,2020-11-16,257.0
105705,2020-11-17,678.0
105706,2020-11-18,755.0
105707,2020-11-19,647.0
105708,2020-11-20,514.0
105709,2020-11-21,357.0
105710,2020-11-22,178.0
105711,2020-11-23,355.0
105712,2020-11-24,627.0
105713,2020-11-25,623.0
105714,2020-11-26,710.0
105715,2020-11-27,559.0
105716,2020-11-28,544.0
105717,2020-11-29,233.0
105718,2020-11-30,351.0
105719,2020-12-01,685.0
105720,2020-12-02,679.0
105721,2020-12-03,761.0
105722,2020-12-04,678.0
105723,2020-12-05,647.0
105724,2020-12-06,340.0
105725,2020-12-07,425.0
105726,2020-12-08,797.0
105727,2020-12-09,853.0
105728,2020-12-10,769.0
105729,2020-12-11,661.0
105730,2020-12-12,677.0
105731,2020-12-13,295.0
105732,2020-12-14,513.0
105733,2020-12-15,934.0
105734,2020-12-16,941.0
105735,2020-12-17,1060.0
105736,2020-12-18,816.0
105737,2020-12-19,659.0
105738,2020-12-20,418.0
105739,2020-12-21,561.0
105740,2020-12-22,969.0
105741,2020-12-23,965.0
105742,2020-12-24,760.0
105743,2020-12-25,482.0
105744,2020-12-26,296.0
105745,2020-12-27,337.0
105746,2020-12-28,537.0
105747,2020-12-29,1050.0
105748,2020-12-30,1216.0
105749,2020-12-31,1015.0
105750,2021-01-01,470.0
105751,2021-01-02,292.0
105752,2021-01-03,311.0
105753,2021-01-04,594.0
105754,2021-01-05,1188.0
105755,2021-01-06,1230.0
105756,2021-01-07,1518.0
105757,2021-01-08,1078.0
105758,2021-01-09,1008.0
105759,2021-01-10,489.0
105760,2021-01-11,491.0
105761,2021-01-12,1125.0
105762,2021-01-13,1264.0
105763,2021-01-14,1154.0
105764,2021-01-15,1136.0
105765,2021-01-16,1014.0
105766,2021-01-17,551.0
105767,2021-01-18,476.0
105768,2021-01-19,1160.0
105769,2021-01-20,1395.0
105770,2021-01-21,1347.0
105771,2021-01-22,1071.0
105772,2021-01-23,1145.0
105773,2021-01-24,594.0
105774,2021-01-25,689.0
105775,2021-01-26,1154.0
105776,2021-01-27,1336.0
105777,2021-01-28,1437.0
105778,2021-01-29,1084.0
105779,2021-01-30,1192.0
105780,2021-01-31,568.0
105781,2021-02-01,622.0
105782,2021-02-02,1259.0
105783,2021-02-03,1197.0
105784,2021-02-04,1276.0
105785,2021-02-05,1251.0
105786,2021-02-06,937.0
105787,2021-02-07,488.0
105788,2021-02-08,720.0
105789,2021-02-09,1314.0
105790,2021-02-10,1361.0
105791,2021-02-11,1441.0
105792,2021-02-12,1220.0
105793,2021-02-13,1025.0
105794,2021-02-14,653.0
105795,2021-02-15,610.0
105796,2021-02-16,1092.0
105797,2021-02-17,1189.0
105798,2021-02-18,1438.0
105799,2021-02-19,1330.0
105800,2021-02-20,1031.0
105801,2021-02-21,606.0
105802,2021-02-22,711.0
105803,2021-02-23,1358.0
105804,2021-02-24,1446.0
105805,2021-02-25,1575.0
105806,2021-02-26,1343.0
105807,2021-02-27,1252.0
105808,2021-02-28,772.0
105809,2021-03-01,826.0
105810,2021-03-02,1721.0
105811,2021-03-03,1846.0
105812,2021-03-04,1806.0
105813,2021-03-05,1713.0
105814,2021-03-06,1489.0
105815,2021-03-07,1098.0
105816,2021-03-08,1118.0
105817,2021-03-09,1949.0
105818,2021-03-10,2379.0
105819,2021-03-11,2194.0
105820,2021-03-12,2122.0
105821,2021-03-13,1955.0
105822,2021-03-14,1069.0
105823,2021-03-15,1332.0
105824,2021-03-16,2848.0
105825,2021-03-17,2661.0
105826,2021-03-18,2723.0
105827,2021-03-19,2654.0
105828,2021-03-20,2369.0
105829,2021-03-21,1246.0
105830,2021-03-22,1601.0
105831,2021-03-23,3147.0
105832,2021-03-24,2316.0
105833,2021-03-25,2651.0
105834,2021-03-26,3510.0
105835,2021-03-27,3406.0
105836,2021-03-28,1581.0
105837,2021-03-29,2012.0
105838,2021-03-30,3653.0
105839,2021-03-31,3924.0
105840,2021-04-01,3652.0
105841,2021-04-02,2801.0
105842,2021-04-03,1909.0
105843,2021-04-04,1242.0
105844,2021-04-05,1909.0
105845,2021-04-06,4065.0
105846,2021-04-07,3671.0
105847,2021-04-08,4146.0
105848,2021-04-09,3751.0
105849,2021-04-10,2378.0
105850,2021-04-11,1857.0
105851,2021-04-12,1709.0
105852,2021-04-13,3754.0
105853,2021-04-14,3444.0
105854,2021-04-15,3491.0
